Sl No,Districts/City,IPC 2021,IPC 2022,IPC 2023,Share of districts in percentage (2023),Mid-year Projected Population (in Lakhs) (2023),Rate of Total Cognizable Crime (IPC) (2023),SLL 2021,SLL 2022,SLL 2023,Share of districts in percentage (2023),Mid-year Projected Population (in Lakhs) (2023),Rate of Total Cognizable Crime (SLL) (2023),Total - 2021,Total - 2022,Share of districts in percentage (2023),Mid-year Projected Population (in Lakhs) (2023),Rate of Total Cognizable Crime (IPC+SLL) (2023),
1,Ariyalur,4242,1775,1836,0.9,8.1,226.7,4510,2551,2539,0.8,8.1,313.5,8752,4326,4375,0.8,8.1,540.1
2,Chennai,46077,15086,15698,7.7,60.6,259,69170,24052,20804,6.2,60.6,343.3,115247,39138,36502,6.8,60.6,602.3
3,Coimbatore,9332,4852,4294,2.1,25.7,167.1,12968,10187,9497,2.8,25.7,369.5,22300,15039,13791,2.6,25.7,536.6
4,Coimbatore City,3738,4542,4697,2.3,11.2,419.4,10225,4708,4115,1.2,11.2,367.4,13963,9250,8812,1.6,11.2,786.8
5,Cuddalore,16045,15096,8344,4.1,27.8,300.1,16578,11265,10579,3.1,27.8,380.5,32623,26361,18923,3.5,27.8,680.7
6,Dharmapuri,5523,3407,2754,1.4,16.1,171.1,7007,5703,5759,1.7,16.1,357.7,12530,9110,8513,1.6,16.1,528.8
7,Dindigul,12981,5597,5540,2.7,23,240.9,9629,5873,5932,1.8,23,257.9,22610,11470,11472,2.1,23,498.8
8,Erode,3818,4677,4152,2,24,173,7852,5773,5773,1.7,24,240.5,11670,10450,9925,1.8,24,413.5
9,Kanchipuram,3300,1978,6409,3.1,9.7,660.7,9025,2808,4373,1.3,9.7,450.8,12325,4786,10782,2,9.7,1111.5
10,Kanyakumari,4291,4409,4521,2.2,20,226.1,9980,4701,3336,1,20,166.8,14271,9110,7857,1.5,20,392.9
11,Karur,6835,2142,2197,1.1,11.4,192.7,5099,4893,5555,1.7,11.4,487.3,11934,7035,7752,1.4,11.4,680
12,Krishnagiri,4301,4109,5254,2.6,20.1,261.4,7426,5870,9138,2.7,20.1,454.6,11727,9979,14392,2.7,20.1,716
13,Madurai,6898,5165,6180,3,21.5,287.4,6483,5433,6258,1.9,21.5,291.1,13381,10598,12438,2.3,21.5,578.5
14,Madurai City,6277,4121,4187,2.1,10.9,384.1,10633,8168,10837,3.2,10.9,994.2,16910,12289,15024,2.8,10.9,1378.3
15,Nagapattinam,14082,4477,1616,0.8,7.5,215.5,13936,9108,4634,1.4,7.5,617.9,28018,13585,6250,1.2,7.5,833.3
16,Namakkal,6089,3339,3397,1.7,18.4,184.6,12198,4538,5206,1.6,18.4,282.9,18287,7877,8603,1.6,18.4,467.6
17,Nilgiris,1208,1003,694,0.3,7.8,89,2128,1859,3828,1.1,7.8,490.8,3336,2862,4522,0.8,7.8,579.7
18,Perambalur,3660,1542,1534,0.8,6,255.7,2731,1953,2520,0.8,6,420,6391,3495,4054,0.8,6,675.7
19,Pudukottai,9474,4991,4464,2.2,17.3,258,7853,5722,6045,1.8,17.3,349.4,17327,10713,10509,1.9,17.3,607.5
