Sl No,Districts/City,Road Accidents - Incidence,Road Accidents - Victims,Road Accidents - Rate,Hit and Run - Incidence,Hit and Run - Victims,Hit and Runs - Rate,Other Accidents - Incidence,Other Accidents - Victims,Other Accidents - Rate
1,Ariyalur,183,190,22.7,11,11,1.4,172,179,21.4
2,Chennai,499,504,8.2,78,78,1.3,421,426,7
3,Coimbatore,711,739,27.7,74,74,2.9,637,665,24.8
4,Coimbatore City,298,305,26.6,19,21,1.7,279,284,24.9
5,Cuddalore,541,580,19.5,47,47,1.7,494,533,17.8
6,Dharmapuri,341,341,21.2,24,24,1.5,317,317,19.7
7,Dindigul,730,730,31.7,32,32,1.4,698,698,30.3
8,Erode,659,688,27.4,57,57,2.4,602,631,25.1
9,Kanchipuram,288,296,29.7,41,41,4.2,247,255,25.5
10,Kanyakumari,328,354,16.4,54,56,2.7,274,298,13.7
11,Karur,348,358,30.7,41,44,3.6,307,314,27
12,Krishnagiri,707,797,35.3,131,140,6.5,576,657,28.7
13,Madurai,575,575,26.7,68,68,3.2,507,507,23.5
14,Madurai City,253,269,23.3,7,7,0.6,246,262,22.7
15,Nagapattinam,128,187,17.1,9,10,1.2,119,177,15.9
16,Namakkal,552,637,30,64,64,3.5,488,573,26.5
17,Nilgiris,61,61,7.8,0,0,0,61,61,7.8
18,Perambalur,168,204,27.9,12,12,2,156,192,25.9
19,Pudukottai,423,423,24.5,26,26,1.5,397,397,23
20,Ramnathapuram,402,423,27.9,36,36,2.5,366,387,25.4
21,Railway Chennai,1,1,-,0,0,-,1,1,-
22,Railway Trichy,0,0,-,0,0,-,0,0,-
23,Salem,538,573,19,12,30,0.4,526,543,18.6
24,Salem City,217,218,24.5,51,51,5.8,166,167,18.8
25,Sivagangai,381,440,26.7,50,58,3.5,331,382,23.2
26,Thanjavur,587,607,22.9,54,54,2.1,533,553,20.8
27,Theni,322,335,24.2,16,17,1.2,306,318,23
28,Thirunelveli,299,315,23.8,25,25,2,274,290,21.8
29,Thirunelveli City,95,95,18.8,5,5,1,90,90,17.8
30,Thiruvallur,286,301,11.4,27,27,1.1,259,274,10.3
31,Thiruvannamalai,648,742,24.7,62,62,2.4,586,680,22.3
32,Thiruvarur,220,226,16.3,0,0,0,220,226,16.3
33,Thoothukudi,460,486,24.6,31,37,1.7,429,449,23
34,Tiruppur,710,713,32.7,9,9,0.4,701,704,32.3
35,Tiruppur City,155,158,32.7,10,10,2.1,145,148,30.6
36,Trichy,528,555,26.4,51,68,2.6,477,487,23.9
37,Trichy City,158,165,17.5,13,13,1.4,145,152,16
38,Vellore,312,313,18.8,0,0,0,312,313,18.8
39,Villupuram,519,548,23.6,30,30,1.4,489,518,22.2
40,Virudhunagar,463,538,22.4,43,43,2.1,420,495,20.3
41,Cyber Cell,0,0,-,0,0,-,0,0,-
42,Other Units,0,0,-,0,0,-,0,0,-
43,Chengalpattu,392,423,16.1,52,52,2.1,340,371,14
44,Kallakurichi,286,311,19.2,7,7,0.5,279,304,18.8
45,Ranipet,263,281,20.6,23,23,1.8,240,258,18.8
46,Tiruppattur,198,236,15.7,18,21,1.4,180,215,14.3
47,Tenkasi,232,252,15.3,16,17,1.1,216,235,14.2
48,Mayiladuthurai,146,150,14.9,4,4,0.4,142,146,14.5
49,Avadi,420,432,100,16,16,3.8,404,416,96.2
50,Tambaram,489,489,61.2,69,69,8.6,420,420,52.6
,TOTAL DISTRICT(S),17520,18564,22.8,1525,1596,2,15995,16968,20.8
